	sample_1	sample_2	sample_3	sample_4	sample_5
GCF_003384305.1	0	0	0	0	0.050656646
GCF_003384585.1	0	0	0	0	0.838384069
GCF_003426225.1	0	0.05956322	0	0	0
GCF_003586225.1	0	0.076224881	0	0	0
GCF_004136215.1	0	0	0	0.322438347	0
GCF_009737035.1	0	0	0	0.180889805	0
GCF_009737075.1	0	0	0.586229406	0	0.062919251
GCF_009737125.1	0.972718925	0	0	0	0
GCF_018919105.1	0.027281075	0	0	0	0
GCF_021011155.1	0	0	0	0.361114853	0
GCF_023718425.1	0	0	0	0.114523852	0
GCF_023838665.1	0	0	0.413770594	0	0
GCF_024328475.1	0	0.864211899	0	0	0.048040035
GCF_900102845.1	0	0	0	0.021033143	0
