	sample_1	sample_2	sample_3	sample_4	sample_5
GCF_003384305.1	0	0	0	0	0.050693464
GCF_003384585.1	0	0	0	0	0.838333093
GCF_003426225.1	0	0.059559231	0	0	0
GCF_003586225.1	0	0.076229386	0	0	0
GCF_004136215.1	0	0	0	0.323730439	0
GCF_009737035.1	0	0	0	0.180673635	0
GCF_009737075.1	0	0	0.585964639	0	0.062922025
GCF_009737125.1	0.972740945	0	0	0	0
GCF_018919105.1	0.027259055	0	0	0	0
GCF_021011155.1	0	0	0	0.360482106	0
GCF_023718425.1	0	0	0	0.114130545	0
GCF_023838665.1	0	0	0.414035361	0	0
GCF_024328475.1	0	0.864211383	0	0	0.048051418
GCF_900102845.1	0	0	0	0.020983275	0
